date,semester,rank,team,acronym,total.points,previous.points,diff.points
2010,2,1,Spain,ESP,1887.0,1920.0,-33.0
2010,2,2,Netherlands,NED,1723.0,1718.0,5.0
2010,2,3,Germany,GER,1485.0,1489.0,-4.0
2010,2,4,Brazil,BRA,1446.0,1493.0,-47.0
2010,2,5,Argentina,ARG,1338.0,1353.0,-15.0
2010,2,6,England,ENG,1195.0,1250.0,-55.0
2010,2,7,Uruguay,URU,1153.0,1174.0,-21.0
2010,2,8,Portugal,POR,1090.0,1102.0,-12.0
2010,2,9,Egypt,EGY,1078.0,1047.0,31.0
2010,2,10,Croatia,CRO,1075.0,1098.0,-23.0
2010,2,11,Greece,GRE,1016.0,1043.0,-27.0
2010,2,12,Norway,NOR,995.0,1004.0,-9.0
2010,2,13,Russia,RUS,982.0,1003.0,-21.0
2010,2,14,Italy,ITA,965.0,995.0,-30.0
2010,2,15,Chile,CHI,950.0,929.0,21.0
2010,2,16,Ghana,GHA,908.0,903.0,5.0
2010,2,17,Slovenia,SVN,896.0,958.0,-62.0
2010,2,18,USA,USA,867.0,847.0,20.0
2010,2,18,France,FRA,867.0,852.0,15.0
2010,2,20,Slovakia,SVK,854.0,866.0,-12.0
2010,2,21,Côte d'Ivoire,CIV,846.0,857.0,-11.0
2010,2,22,Switzerland,SUI,840.0,852.0,-12.0
2010,2,23,Serbia,SRB,837.0,828.0,9.0
2010,2,24,Paraguay,PAR,832.0,850.0,-18.0
2010,2,25,Montenegro,MNE,824.0,827.0,-3.0
2010,2,26,Australia,AUS,816.0,853.0,-37.0
2010,2,27,Mexico,MEX,795.0,790.0,5.0
2010,2,28,Denmark,DEN,790.0,812.0,-22.0
2010,2,29,Japan,JPN,776.0,781.0,-5.0
2010,2,30,Czech Republic,CZE,751.0,756.0,-5.0
2010,2,31,Turkey,TUR,741.0,788.0,-47.0
2010,2,32,Nigeria,NGA,725.0,711.0,14.0
2010,2,33,Sweden,SWE,712.0,703.0,9.0
2010,2,34,Ukraine,UKR,702.0,698.0,4.0
2010,2,35,Algeria,ALG,687.0,706.0,-19.0
2010,2,36,Republic of Ireland,IRL,681.0,730.0,-49.0
2010,2,37,Cameroon,CMR,670.0,656.0,14.0
2010,2,38,Belarus,BLR,660.0,648.0,12.0
2010,2,39,Gabon,GAB,648.0,673.0,-25.0
2010,2,40,Korea Republic,KOR,647.0,653.0,-6.0
2010,2,41,Burkina Faso,BFA,644.0,630.0,14.0
2010,2,42,Hungary,HUN,632.0,615.0,17.0
2010,2,43,Northern Ireland,NIR,615.0,627.0,-12.0
2010,2,44,Bosnia and Herzegovina,BIH,582.0,542.0,40.0
2010,2,45,Tunisia,TUN,578.0,600.0,-22.0
2010,2,46,Guinea,GUI,569.0,575.0,-6.0
2010,2,46,Austria,AUT,569.0,572.0,-3.0
2010,2,48,Colombia,COL,558.0,575.0,-17.0
2010,2,49,Bulgaria,BUL,555.0,597.0,-42.0
2010,2,50,Israel,ISR,551.0,535.0,16.0
2010,2,51,South Africa,RSA,550.0,562.0,-12.0
2010,2,52,Scotland,SCO,542.0,537.0,5.0
2010,2,53,Botswana,BOT,535.0,470.0,65.0
2010,2,53,Ecuador,ECU,535.0,498.0,37.0
2010,2,55,Lithuania,LTU,532.0,576.0,-44.0
2010,2,56,Romania,ROU,531.0,538.0,-7.0
2010,2,57,Belgium,BEL,526.0,494.0,32.0
2010,2,58,Jamaica,JAM,522.0,413.0,109.0
2010,2,59,Honduras,HON,516.0,522.0,-6.0
2010,2,60,Armenia,ARM,515.0,517.0,-2.0
2010,2,60,Venezuela,VEN,515.0,527.0,-12.0
2010,2,62,Cuba,CUB,512.0,353.0,159.0
2010,2,63,New Zealand,NZL,506.0,517.0,-11.0
2010,2,64,Panama,PAN,501.0,480.0,21.0
2010,2,65,Albania,ALB,497.0,520.0,-23.0
2010,2,66,IR Iran,IRN,496.0,480.0,16.0
2010,2,67,Mali,MLI,488.0,480.0,8.0
2010,2,68,Peru,PER,486.0,538.0,-52.0
2010,2,69,Costa Rica,CRC,467.0,490.0,-23.0
2010,2,70,Senegal,SEN,464.0,443.0,21.0
2010,2,71,Benin,BEN,462.0,449.0,13.0
2010,2,72,Libya,LBY,451.0,414.0,37.0
2010,2,73,Poland,POL,449.0,452.0,-3.0
2010,2,73,Georgia,GEO,449.0,422.0,27.0
2010,2,75,Cape Verde Islands,CPV,444.0,408.0,36.0
2010,2,76,FYR Macedonia,MKD,441.0,439.0,2.0
2010,2,76,Zambia,ZAM,441.0,457.0,-16.0
2010,2,78,Latvia,LVA,440.0,446.0,-6.0
2010,2,79,Morocco,MAR,437.0,415.0,22.0
2010,2,80,Saudi Arabia,KSA,429.0,462.0,-33.0
2010,2,80,Uganda,UGA,429.0,457.0,-28.0
2010,2,82,Estonia,EST,426.0,445.0,-19.0
2010,2,83,Finland,FIN,419.0,389.0,30.0
2010,2,84,Moldova,MDA,411.0,405.0,6.0
2010,2,84,Canada,CAN,411.0,403.0,8.0
2010,2,86,Malawi,MWI,396.0,423.0,-27.0
2010,2,87,China PR,CHN,389.0,382.0,7.0
2010,2,88,Angola,ANG,378.0,370.0,8.0
2010,2,89,Trinidad and Tobago,TRI,373.0,422.0,-49.0
2010,2,90,Cyprus,CYP,367.0,369.0,-2.0
2010,2,90,Haiti,HAI,367.0,335.0,32.0
2010,2,92,Bahrain,BHR,351.0,389.0,-38.0
2010,2,93,Grenada,GRN,349.0,375.0,-26.0
2010,2,93,Niger,NIG,349.0,324.0,25.0
2010,2,95,Mozambique,MOZ,346.0,339.0,7.0
2010,2,96,Bolivia,BOL,344.0,337.0,7.0
2010,2,97,Azerbaijan,AZE,343.0,381.0,-38.0
2010,2,98,Oman,OMA,329.0,341.0,-12.0
2010,2,99,Iraq,IRQ,325.0,339.0,-14.0
2010,2,99,Gambia,GAM,325.0,323.0,2.0
2010,2,101,Kuwait,KUW,317.0,316.0,1.0
2010,2,102,Togo,TOG,313.0,299.0,14.0
2010,2,103,Jordan,JOR,305.0,352.0,-47.0
2010,2,104,United Arab Emirates,UAE,301.0,318.0,-17.0
2010,2,105,Antigua and Barbuda,ATG,299.0,253.0,46.0
2010,2,106,Syria,SYR,296.0,282.0,14.0
2010,2,107,Korea DPR,PRK,292.0,299.0,-7.0
2010,2,108,Guyana,GUY,275.0,392.0,-117.0
2010,2,108,Uzbekistan,UZB,275.0,303.0,-28.0
2010,2,110,Central African Republic,CTA,263.0,263.0,0.0
2010,2,111,Iceland,ISL,261.0,275.0,-14.0
2010,2,111,Wales,WAL,261.0,273.0,-12.0
2010,2,111,Qatar,QAT,261.0,259.0,2.0
2010,2,114,Suriname,SUR,257.0,231.0,26.0
2010,2,115,Tanzania,TAN,256.0,225.0,31.0
2010,2,116,El Salvador,SLV,251.0,247.0,4.0
2010,2,117,Guatemala,GUA,247.0,217.0,30.0
2010,2,118,Zimbabwe,ZIM,246.0,246.0,0.0
2010,2,119,Kenya,KEN,240.0,251.0,-11.0
2010,2,120,St. Kitts and Nevis,SKN,239.0,230.0,9.0
2010,2,120,Thailand,THA,239.0,254.0,-15.0
2010,2,120,Congo,CGO,239.0,239.0,0.0
2010,2,123,Ethiopia,ETH,231.0,178.0,53.0
2010,2,124,Sierra Leone,SLE,224.0,219.0,5.0
2010,2,125,Yemen,YEM,213.0,231.0,-18.0
2010,2,126,Indonesia,IDN,212.0,172.0,40.0
2010,2,127,Burundi,BDI,202.0,171.0,31.0
2010,2,128,Dominica,DMA,196.0,201.0,-5.0
2010,2,129,Congo DR,COD,190.0,196.0,-6.0
2010,2,130,Barbados,BRB,187.0,235.0,-48.0
2010,2,131,Rwanda,RWA,185.0,215.0,-30.0
2010,2,132,Puerto Rico,PUR,184.0,184.0,0.0
2010,2,133,Luxembourg,LUX,180.0,175.0,5.0
2010,2,134,Turkmenistan,TKM,173.0,173.0,0.0
2010,2,135,Faroe Islands,FRO,171.0,178.0,-7.0
2010,2,136,Vietnam,VIE,167.0,157.0,10.0
2010,2,137,Kazakhstan,KAZ,155.0,170.0,-15.0
2010,2,138,Namibia,NAM,154.0,154.0,0.0
2010,2,139,Singapore,SGP,149.0,168.0,-19.0
2010,2,140,Chad,CHA,147.0,126.0,21.0
2010,2,141,St. Vincent / Grenadines,VIN,132.0,157.0,-25.0
2010,2,141,India,IND,132.0,145.0,-13.0
2010,2,143,Malaysia,MAS,128.0,112.0,16.0
2010,2,144,Tajikistan,TJK,126.0,121.0,5.0
2010,2,145,Hong Kong,HKG,125.0,128.0,-3.0
2010,2,146,Guinea-Bissau,GNB,121.0,125.0,-4.0
2010,2,147,Liechtenstein,LIE,116.0,91.0,25.0
2010,2,148,Philippines,PHI,109.0,110.0,-1.0
2010,2,148,Myanmar,MYA,109.0,133.0,-24.0
2010,2,150,Netherlands Antilles,ANT,107.0,107.0,0.0
2010,2,151,Fiji,FIJ,103.0,144.0,-41.0
2010,2,152,Chinese Taipei,TPE,102.0,102.0,0.0
2010,2,153,Lebanon,LIB,92.0,94.0,-2.0
2010,2,154,Madagascar,MAD,91.0,91.0,0.0
2010,2,155,New Caledonia,NCL,89.0,101.0,-12.0
2010,2,156,Cayman Islands,CAY,88.0,88.0,0.0
2010,2,157,Nicaragua,NCA,86.0,86.0,0.0
2010,2,158,Bangladesh,BAN,84.0,109.0,-25.0
2010,2,159,Swaziland,SWZ,82.0,81.0,1.0
2010,2,159,Liberia,LBR,82.0,82.0,0.0
2010,2,161,Maldives,MDV,81.0,127.0,-46.0
2010,2,162,Sri Lanka,SRI,79.0,107.0,-28.0
2010,2,163,Malta,MLT,76.0,77.0,-1.0
2010,2,164,Equatorial Guinea,EQG,72.0,79.0,-7.0
2010,2,165,Cambodia,CAM,68.0,73.0,-5.0
2010,2,166,Vanuatu,VAN,67.0,64.0,3.0
2010,2,167,Dominican Republic,DOM,66.0,85.0,-19.0
2010,2,168,Laos,LAO,64.0,70.0,-6.0
2010,2,169,Lesotho,LES,62.0,62.0,0.0
2010,2,170,Pakistan,PAK,56.0,79.0,-23.0
2010,2,171,Nepal,NEP,54.0,84.0,-30.0
2010,2,171,Belize,BLZ,54.0,54.0,0.0
2010,2,173,Kyrgyz Republic,KGZ,50.0,50.0,0.0
2010,2,174,Bermuda,BER,49.0,63.0,-14.0
2010,2,175,British Virgin Islands,VGB,41.0,41.0,0.0
2010,2,176,Solomon Islands,SOL,40.0,40.0,0.0
2010,2,176,Eritrea,ERI,40.0,81.0,-41.0
2010,2,176,Palestine,PLE,40.0,40.0,0.0
2010,2,179,Mauritania,MTN,38.0,38.0,0.0
2010,2,180,St. Lucia,LCA,37.0,37.0,0.0
2010,2,181,Somalia,SOM,32.0,39.0,-7.0
2010,2,181,Mongolia,MNG,32.0,32.0,0.0
2010,2,183,Tahiti,TAH,31.0,31.0,0.0
2010,2,184,Samoa,SAM,26.0,26.0,0.0
2010,2,185,Comoros,COM,24.0,24.0,0.0
2010,2,186,Turks and Caicos Islands,TCA,19.0,19.0,0.0
2010,2,187,Cook Islands,COK,17.0,17.0,0.0
2010,2,187,Guam,GUM,17.0,17.0,0.0
2010,2,187,Tonga,TGA,17.0,17.0,0.0
2010,2,190,Djibouti,DJI,16.0,20.0,-4.0
2010,2,190,Mauritius,MRI,16.0,16.0,0.0
2010,2,192,Macau,MAC,14.0,12.0,2.0
2010,2,193,Bahamas,BAH,13.0,13.0,0.0
2010,2,194,Seychelles,SEY,10.0,10.0,0.0
2010,2,194,Afghanistan,AFG,10.0,10.0,0.0
2010,2,196,Bhutan,BHU,9.0,9.0,0.0
2010,2,196,Brunei Darussalam,BRU,9.0,9.0,0.0
2010,2,198,Aruba,ARU,7.0,7.0,0.0
2010,2,199,US Virgin Islands,VIR,5.0,5.0,0.0
2010,2,200,Timor-Leste,TLS,3.0,3.0,0.0
2010,2,201,Andorra,AND,2.0,2.0,0.0
2010,2,202,San Marino,SMR,0.0,0.0,0.0
2010,2,202,American Samoa,ASA,0.0,0.0,0.0
2010,2,202,Montserrat,MSR,0.0,0.0,0.0
2010,2,202,Papua New Guinea,PNG,0.0,0.0,0.0
2010,2,202,Anguilla,AIA,0.0,0.0,0.0
2010,2,202,Sao Tome e Principe,STP,0.0,0.0,0.0
